date_日期,price_价格
2024-05-20,76.0
2024-05-21,76.0
2024-05-22,76.0
2024-06-01,73.0
2024-06-03,72.99
2024-06-04,75.0
2024-06-11,78.0
2024-06-12,78.0
2024-06-17,73.0
2024-06-18,73.0
2024-06-19,73.0
2024-06-29,73.0
2024-06-30,73.0
2024-07-15,80.9
2024-07-16,80.9
2024-07-17,81.9
2024-08-08,82.0
2024-08-09,82.0
2024-08-10,82.0
2024-08-11,82.0
2024-08-12,82.0
2024-08-16,78.0
2024-08-17,83.0
2024-08-18,79.0
2024-08-19,79.0
2024-08-20,79.0
2024-08-21,82.0
2024-08-27,82.0
2024-08-28,82.0
2024-08-29,82.0
2024-08-30,82.0
2024-09-02,79.0
2024-09-03,79.0
2024-09-04,79.0
2024-09-05,72.0
2024-09-20,83.0
2024-09-21,83.0
2024-09-22,83.0
2024-09-23,83.0
2024-09-24,83.0
2024-09-25,83.0
2024-09-26,83.0
2024-09-27,83.0
2024-09-28,83.0
2024-09-29,83.0
2024-09-30,83.0
2024-10-01,83.0
2024-10-02,83.0
2024-10-03,83.0
2024-10-04,83.0
2024-10-05,83.0
2024-10-06,83.0
2024-10-07,83.0
2024-10-08,83.0
2024-10-09,83.0
2024-10-10,83.0
2024-10-11,83.0
2024-10-12,83.0
2024-10-13,83.0
2024-10-14,69.9
2024-10-15,69.9
2024-10-16,83.0
2024-10-17,83.0
2024-10-18,83.0
2024-10-19,83.0
2024-10-20,83.0
2024-10-21,69.9
2024-10-22,69.9
2024-10-23,83.0
2024-10-24,83.0
2024-10-25,79.0
2024-10-26,83.0
2024-10-27,83.0
2024-10-28,83.0
2024-10-29,83.0
2024-10-30,83.0
2024-10-31,69.9
2024-11-01,69.9
2024-11-02,83.0
2024-11-03,83.0
2024-11-04,69.9
2024-11-05,69.9
2024-11-06,69.9
2024-11-07,83.0
2024-11-08,83.0
2024-11-09,69.0
2024-11-10,69.0
2024-11-11,69.0
2024-11-12,69.9
2024-11-13,83.0
2024-11-14,83.0
2024-11-15,83.0
2024-11-16,83.0
2024-11-17,83.0
2024-11-18,83.0
2024-11-19,80.0
2024-11-20,80.0
2024-11-21,83.0
2024-11-22,83.0
2024-11-23,83.0
2024-11-24,83.0
2024-11-25,83.0
2024-11-26,83.0
2024-11-27,83.0
2024-11-28,83.0
2024-11-29,83.0
2024-11-30,83.0
2024-12-01,83.0
2024-12-02,72.0
2024-12-03,72.0
2024-12-04,72.0
2024-12-05,72.0
2024-12-06,79.0
2024-12-07,79.0
2024-12-08,79.0
2024-12-09,72.1
2024-12-10,72.1
2024-12-11,72.0
2024-12-12,72.0
2024-12-13,83.0
2024-12-14,83.0
2024-12-15,83.0
2024-12-16,79.9
2024-12-17,79.9
2024-12-18,79.9
2024-12-19,79.9
2024-12-20,79.9
2024-12-21,79.9
2024-12-22,79.9
2024-12-23,79.9
2024-12-24,83.0
2024-12-25,83.0
2024-12-26,83.0
2024-12-27,83.0
2024-12-28,83.0
2024-12-29,83.0
2024-12-30,81.1
2024-12-31,83.0
2025-01-13,82.9
2025-01-20,81.8
2025-01-21,81.8
2025-02-09,79.0
2025-02-10,76.9
2025-02-11,79.0
2025-02-12,79.0
2025-02-17,79.0
2025-02-18,80.9
2025-02-19,80.9
2025-02-20,80.9
2025-02-21,80.9
2025-02-24,80.9
2025-02-25,80.9
2025-02-26,80.9
2025-02-27,80.9
2025-02-28,80.9
2025-03-01,82.9
2025-03-02,82.9
2025-03-03,79.9
2025-03-04,79.9
2025-03-05,82.9
2025-03-06,82.9
2025-03-07,82.9
2025-03-10,81.9
2025-03-11,82.9
2025-03-12,82.9
2025-03-13,82.9
2025-03-14,82.9
2025-03-16,81.5
2025-03-17,81.5
2025-03-18,82.9
2025-03-19,82.9
2025-03-20,82.9
2025-03-21,82.9
2025-03-24,81.9
2025-03-25,82.9
2025-03-26,82.9
2025-03-27,82.9
2025-03-28,82.9
2025-03-31,81.9
2025-04-02,82.9
2025-04-03,82.9
2025-04-04,82.9
2025-04-05,82.9
2025-04-07,81.9
2025-04-08,81.9
2025-04-09,81.9
2025-04-10,81.9
2025-04-11,81.9
2025-04-12,81.9
2025-04-13,81.9
2025-04-14,81.9
2025-04-15,81.9
2025-04-16,82.9
2025-04-17,81.9
2025-04-18,82.9
2025-04-19,82.9
2025-04-20,82.9
2025-04-21,82.9
2025-04-22,82.9
2025-04-23,82.9
2025-04-24,82.9
2025-04-25,82.9
2025-04-26,82.9
2025-04-27,82.9
2025-04-28,82.9
2025-04-29,82.9
2025-04-30,82.9
