文件名: (AsiaSymbol)A470g5005  2500_cleaned.csv
均值价格: 83.07
中位数价格: 83.00
价格标准差: 4.52

价格低于均值的日期和价格:
2024-05-20 价格: 76.00
2024-05-21 价格: 76.00
2024-05-22 价格: 76.00
2024-06-01 价格: 73.00
2024-06-03 价格: 72.99
2024-06-04 价格: 75.00
2024-06-11 价格: 78.00
2024-06-12 价格: 78.00
2024-06-17 价格: 73.00
2024-06-18 价格: 73.00
2024-06-19 价格: 73.00
2024-06-29 价格: 73.00
2024-06-30 价格: 73.00
2024-07-15 价格: 80.90
2024-07-16 价格: 80.90
2024-07-17 价格: 81.90
2024-08-08 价格: 82.00
2024-08-09 价格: 82.00
2024-08-10 价格: 82.00
2024-08-11 价格: 82.00
2024-08-12 价格: 82.00
2024-08-16 价格: 78.00
2024-08-17 价格: 83.00
2024-08-18 价格: 79.00
2024-08-19 价格: 79.00
2024-08-20 价格: 79.00
2024-08-21 价格: 82.00
2024-08-27 价格: 82.00
2024-08-28 价格: 82.00
2024-08-29 价格: 82.00
2024-08-30 价格: 82.00
2024-09-02 价格: 79.00
2024-09-03 价格: 79.00
2024-09-04 价格: 79.00
2024-09-05 价格: 72.00
2024-09-20 价格: 83.00
2024-09-21 价格: 83.00
2024-09-22 价格: 83.00
2024-09-23 价格: 83.00
2024-09-24 价格: 83.00
2024-09-25 价格: 83.00
2024-09-26 价格: 83.00
2024-09-27 价格: 83.00
2024-09-28 价格: 83.00
2024-09-29 价格: 83.00
2024-09-30 价格: 83.00
2024-10-01 价格: 83.00
2024-10-02 价格: 83.00
2024-10-03 价格: 83.00
2024-10-04 价格: 83.00
2024-10-05 价格: 83.00
2024-10-06 价格: 83.00
2024-10-07 价格: 83.00
2024-10-08 价格: 83.00
2024-10-09 价格: 83.00
2024-10-10 价格: 83.00
2024-10-11 价格: 83.00
2024-10-12 价格: 83.00
2024-10-13 价格: 83.00
2024-10-14 价格: 69.90
2024-10-15 价格: 69.90
2024-10-16 价格: 83.00
2024-10-17 价格: 83.00
2024-10-18 价格: 83.00
2024-10-19 价格: 83.00
2024-10-20 价格: 83.00
2024-10-21 价格: 69.90
2024-10-22 价格: 69.90
2024-10-23 价格: 83.00
2024-10-24 价格: 83.00
2024-10-25 价格: 79.00
2024-10-26 价格: 83.00
2024-10-27 价格: 83.00
2024-10-28 价格: 83.00
2024-10-29 价格: 83.00
2024-10-30 价格: 83.00
2024-10-31 价格: 69.90
2024-11-01 价格: 69.90
2024-11-02 价格: 83.00
2024-11-03 价格: 83.00
2024-11-04 价格: 69.90
2024-11-05 价格: 69.90
2024-11-06 价格: 69.90
2024-11-07 价格: 83.00
2024-11-08 价格: 83.00
2024-11-09 价格: 69.00
2024-11-10 价格: 69.00
2024-11-11 价格: 69.00
2024-11-12 价格: 69.90
2024-11-13 价格: 83.00
2024-11-14 价格: 83.00
2024-11-15 价格: 83.00
2024-11-16 价格: 83.00
2024-11-17 价格: 83.00
2024-11-18 价格: 83.00
2024-11-19 价格: 80.00
2024-11-20 价格: 80.00
2024-11-21 价格: 83.00
2024-11-22 价格: 83.00
2024-11-23 价格: 83.00
2024-11-24 价格: 83.00
2024-11-25 价格: 83.00
2024-11-26 价格: 83.00
2024-11-27 价格: 83.00
2024-11-28 价格: 83.00
2024-11-29 价格: 83.00
2024-11-30 价格: 83.00
2024-12-01 价格: 83.00
2024-12-02 价格: 72.00
2024-12-03 价格: 72.00
2024-12-04 价格: 72.00
2024-12-05 价格: 72.00
2024-12-06 价格: 79.00
2024-12-07 价格: 79.00
2024-12-08 价格: 79.00
2024-12-09 价格: 72.10
2024-12-10 价格: 72.10
2024-12-11 价格: 72.00
2024-12-12 价格: 72.00
2024-12-13 价格: 83.00
2024-12-14 价格: 83.00
2024-12-15 价格: 83.00
2024-12-16 价格: 79.90
2024-12-17 价格: 79.90
2024-12-18 价格: 79.90
2024-12-19 价格: 79.90
2024-12-20 价格: 79.90
2024-12-21 价格: 79.90
2024-12-22 价格: 79.90
2024-12-23 价格: 79.90
2024-12-24 价格: 83.00
2024-12-25 价格: 83.00
2024-12-26 价格: 83.00
2024-12-27 价格: 83.00
2024-12-28 价格: 83.00
2024-12-29 价格: 83.00
2024-12-30 价格: 81.10
2024-12-31 价格: 83.00
2025-01-13 价格: 82.90
2025-01-20 价格: 81.80
2025-01-21 价格: 81.80
2025-02-09 价格: 79.00
2025-02-10 价格: 76.90
2025-02-11 价格: 79.00
2025-02-12 价格: 79.00
2025-02-17 价格: 79.00
2025-02-18 价格: 80.90
2025-02-19 价格: 80.90
2025-02-20 价格: 80.90
2025-02-21 价格: 80.90
2025-02-24 价格: 80.90
2025-02-25 价格: 80.90
2025-02-26 价格: 80.90
2025-02-27 价格: 80.90
2025-02-28 价格: 80.90
2025-03-01 价格: 82.90
2025-03-02 价格: 82.90
2025-03-03 价格: 79.90
2025-03-04 价格: 79.90
2025-03-05 价格: 82.90
2025-03-06 价格: 82.90
2025-03-07 价格: 82.90
2025-03-10 价格: 81.90
2025-03-11 价格: 82.90
2025-03-12 价格: 82.90
2025-03-13 价格: 82.90
2025-03-14 价格: 82.90
2025-03-16 价格: 81.50
2025-03-17 价格: 81.50
2025-03-18 价格: 82.90
2025-03-19 价格: 82.90
2025-03-20 价格: 82.90
2025-03-21 价格: 82.90
2025-03-24 价格: 81.90
2025-03-25 价格: 82.90
2025-03-26 价格: 82.90
2025-03-27 价格: 82.90
2025-03-28 价格: 82.90
2025-03-31 价格: 81.90
2025-04-02 价格: 82.90
2025-04-03 价格: 82.90
2025-04-04 价格: 82.90
2025-04-05 价格: 82.90
2025-04-07 价格: 81.90
2025-04-08 价格: 81.90
2025-04-09 价格: 81.90
2025-04-10 价格: 81.90
2025-04-11 价格: 81.90
2025-04-12 价格: 81.90
2025-04-13 价格: 81.90
2025-04-14 价格: 81.90
2025-04-15 价格: 81.90
2025-04-16 价格: 82.90
2025-04-17 价格: 81.90
2025-04-18 价格: 82.90
2025-04-19 价格: 82.90
2025-04-20 价格: 82.90
2025-04-21 价格: 82.90
2025-04-22 价格: 82.90
2025-04-23 价格: 82.90
2025-04-24 价格: 82.90
2025-04-25 价格: 82.90
2025-04-26 价格: 82.90
2025-04-27 价格: 82.90
2025-04-28 价格: 82.90
2025-04-29 价格: 82.90
2025-04-30 价格: 82.90
