文件名: A4500250070g5805 70A4-5_cleaned.csv
均值价格: 101.63
中位数价格: 101.63
价格标准差: 0.00

价格低于均值的日期和价格:
2025-03-21 价格: 101.63
2025-03-22 价格: 101.63
2025-03-23 价格: 101.63
2025-03-24 价格: 101.63
2025-03-25 价格: 101.63
2025-03-26 价格: 101.63
2025-03-27 价格: 101.63
2025-03-28 价格: 101.63
2025-03-31 价格: 101.63
2025-04-01 价格: 101.63
2025-04-02 价格: 101.63
2025-04-03 价格: 101.63
2025-04-04 价格: 101.63
2025-04-05 价格: 101.63
2025-04-06 价格: 101.63
2025-04-07 价格: 101.63
2025-04-08 价格: 101.63
2025-04-09 价格: 101.63
2025-04-10 价格: 101.63
2025-04-11 价格: 101.63
2025-04-12 价格: 101.63
2025-04-13 价格: 101.63
2025-04-14 价格: 101.63
2025-04-15 价格: 101.63
2025-04-16 价格: 101.63
2025-04-17 价格: 101.63
2025-04-18 价格: 101.63
2025-04-19 价格: 101.63
2025-04-20 价格: 101.63
2025-04-21 价格: 101.63
2025-04-22 价格: 101.63
2025-04-23 价格: 101.63
2025-04-24 价格: 101.63
2025-04-25 价格: 101.63
2025-04-26 价格: 101.63
2025-04-27 价格: 101.63
2025-04-28 价格: 101.63
2025-04-29 价格: 101.63
2025-04-30 价格: 101.63
