date_日期,price_价格
2024-05-20,75.0
2024-05-21,75.0
2024-05-31,76.0
2024-06-01,76.0
2024-06-03,76.0
2024-06-04,76.0
2024-06-17,76.0
2024-06-18,76.0
2024-09-23,85.0
2024-09-24,85.0
2024-09-25,85.0
2024-09-26,85.0
2024-09-27,85.0
2024-09-28,85.0
2024-09-29,85.0
2024-09-30,85.0
2024-10-01,85.0
2024-10-02,85.0
2024-10-03,85.0
2024-10-04,85.0
2024-10-05,85.0
2024-10-06,85.0
2024-10-07,85.0
2024-10-08,85.0
2024-10-09,85.0
2024-10-10,85.0
2024-10-11,85.0
2024-10-12,85.0
2024-10-13,85.0
2024-10-14,74.0
2024-10-15,74.0
2024-10-16,85.0
2024-10-17,85.0
2024-10-18,85.0
2024-10-19,85.0
2024-10-20,85.0
2024-10-21,74.0
2024-10-22,74.0
2024-10-23,85.0
2024-10-24,85.0
2024-10-25,85.0
2024-10-26,85.0
2024-10-27,85.0
2024-10-28,85.0
2024-10-29,74.0
2024-10-30,85.0
2024-10-31,74.0
2024-11-01,74.0
2024-11-02,85.0
2024-11-03,85.0
2024-11-04,74.0
2024-11-05,74.0
2024-11-06,74.0
2024-11-07,85.0
2024-11-08,85.0
2024-11-09,74.0
2024-11-10,74.0
2024-11-11,74.0
2024-11-12,74.0
2024-11-13,85.0
2024-11-14,85.0
2024-11-15,85.0
2024-11-16,85.0
2024-11-17,85.0
2024-11-18,85.0
2024-11-19,85.0
2024-11-20,85.0
2024-11-21,85.0
2024-11-22,85.0
2024-11-23,85.0
2024-11-24,85.0
2024-11-25,85.0
2024-11-26,85.0
2024-11-27,85.0
2024-11-28,85.0
2024-11-29,85.0
2024-11-30,85.0
2024-12-01,85.0
2024-12-02,85.0
2024-12-03,85.0
2024-12-04,85.0
2024-12-05,85.0
2024-12-06,85.0
2024-12-07,85.0
2024-12-08,85.0
2024-12-09,85.0
2024-12-10,85.0
2024-12-11,85.0
2024-12-12,85.0
2024-12-13,85.0
2024-12-14,85.0
2024-12-15,85.0
2024-12-16,85.0
2024-12-17,85.0
2024-12-18,85.0
2024-12-19,85.0
2024-12-20,85.0
2024-12-21,85.0
2024-12-22,85.0
2024-12-23,85.0
2024-12-24,85.0
2024-12-25,85.0
2024-12-26,85.0
2024-12-27,85.0
2024-12-28,85.0
2024-12-29,85.0
2024-12-30,85.0
2024-12-31,85.0
2025-01-01,85.0
2025-01-02,85.0
2025-02-07,85.0
2025-02-08,85.0
2025-02-09,85.0
2025-02-10,85.0
2025-02-11,82.0
2025-02-12,82.0
2025-02-13,82.0
2025-02-14,82.0
2025-02-15,85.0
2025-02-16,85.0
2025-02-17,75.0
2025-02-18,75.0
2025-02-19,75.0
2025-02-20,82.0
2025-02-21,82.0
2025-02-22,82.0
2025-02-23,82.0
2025-02-24,82.0
2025-02-25,85.0
2025-02-26,85.0
2025-02-27,85.0
2025-02-28,85.0
2025-03-01,85.0
2025-03-02,85.0
2025-03-03,85.0
2025-03-04,85.0
2025-03-05,85.0
2025-03-06,85.0
2025-03-07,85.0
2025-03-08,85.0
2025-03-09,85.0
2025-03-10,85.0
2025-03-11,85.0
2025-03-12,85.0
2025-03-13,85.0
2025-03-14,85.0
2025-03-15,85.0
2025-03-16,85.0
2025-03-17,84.99
2025-03-18,84.99
2025-03-19,85.0
2025-03-20,85.0
2025-03-21,85.0
2025-03-22,85.0
2025-03-23,85.0
2025-03-24,85.0
2025-03-25,84.9
2025-03-26,85.0
2025-03-27,85.0
2025-03-28,85.0
2025-03-31,85.0
2025-04-01,84.9
2025-04-02,85.0
2025-04-03,85.0
2025-04-04,85.0
2025-04-07,84.9
2025-04-08,85.0
2025-04-09,85.0
2025-04-14,85.0
2025-04-21,83.0
2025-04-22,83.5
2025-04-23,83.5
2025-04-24,85.0
2025-04-25,85.0
2025-04-27,85.0
2025-04-28,85.0
2025-04-29,85.0
2025-04-30,85.0
