date_日期,price_价格
2024-05-20,75.0
2024-05-21,75.0
2024-05-22,79.0
2024-05-31,75.0
2024-06-01,75.0
2024-06-03,75.0
2024-06-04,75.0
2024-06-11,73.0
2024-06-12,73.0
2024-06-18,73.0
2024-06-29,73.0
2024-06-30,73.0
2024-08-18,79.0
2024-08-19,79.0
2024-08-20,79.0
2024-08-21,82.0
2024-09-20,82.0
2024-09-23,82.0
2024-09-24,82.0
2024-09-25,82.0
2024-09-26,82.0
2024-09-27,82.0
2024-09-29,82.0
2024-09-30,82.0
2024-10-01,82.0
2024-10-14,72.0
2024-10-15,72.0
2024-10-21,72.0
2024-10-22,72.0
2024-10-23,79.0
2024-10-31,72.0
2024-11-01,72.0
2024-11-02,75.0
2024-11-03,75.0
2024-11-04,72.0
2024-11-05,72.0
2024-11-06,72.0
2024-11-10,72.0
2024-11-11,72.0
2024-11-12,72.0
2024-11-13,83.0
2024-11-14,83.0
2024-11-15,83.0
2024-11-16,83.0
2024-11-17,83.0
2024-11-18,83.0
2024-11-19,83.0
2024-11-20,83.0
2024-11-21,83.0
2024-11-22,83.0
2024-11-23,83.0
2024-11-24,83.0
2024-11-25,83.0
2024-11-26,83.0
2024-11-27,83.0
2024-11-28,83.0
2024-11-29,83.0
2024-11-30,83.0
2024-12-01,77.0
2024-12-02,77.0
2024-12-03,77.0
2024-12-09,77.0
2024-12-10,77.0
2024-12-11,77.0
2024-12-12,77.0
2024-12-16,83.0
2024-12-17,75.0
2024-12-18,75.0
2024-12-19,83.0
2024-12-20,83.0
2024-12-21,83.0
2024-12-22,83.0
2024-12-23,83.0
2024-12-24,83.0
2024-12-25,83.0
2024-12-26,83.0
2024-12-27,83.0
2024-12-28,83.0
2024-12-29,83.0
2024-12-30,83.0
2024-12-31,83.0
2025-01-01,83.0
2025-01-02,83.0
2025-01-03,83.0
2025-02-05,82.0
2025-02-06,82.0
2025-02-07,82.0
2025-02-08,82.0
2025-02-09,79.0
2025-02-10,79.0
2025-02-11,79.0
2025-02-12,79.0
2025-02-13,79.0
2025-02-17,82.0
2025-02-18,82.0
2025-02-19,82.0
2025-02-20,81.5
2025-02-21,81.5
2025-02-22,81.5
2025-02-23,81.5
2025-02-24,79.0
2025-02-25,79.0
2025-02-26,82.0
2025-02-27,79.0
2025-02-28,79.0
2025-04-21,84.5
2025-04-28,84.5
