date_日期,price_价格
2025-01-07,170.0
2025-01-08,170.0
2025-01-09,170.0
2025-01-10,170.0
2025-01-11,170.0
2025-01-12,170.0
2025-01-13,170.0
2025-01-14,170.0
2025-01-15,170.0
2025-01-16,170.0
2025-01-17,170.0
2025-01-18,170.0
2025-01-19,170.0
2025-01-20,170.0
2025-01-21,170.0
2025-01-22,170.0
2025-01-23,170.0
2025-01-24,170.0
2025-01-25,170.0
2025-01-26,170.0
2025-01-27,170.0
2025-01-28,170.0
2025-01-29,170.0
2025-01-30,170.0
2025-01-31,170.0
2025-02-01,170.0
2025-02-02,170.0
2025-02-03,170.0
2025-02-04,170.0
2025-02-05,170.0
2025-02-06,170.0
2025-02-07,170.0
2025-02-08,170.0
2025-02-09,170.0
2025-02-10,170.0
2025-02-11,170.0
2025-02-12,170.0
2025-02-13,170.0
2025-02-14,170.0
2025-02-15,170.0
2025-02-16,170.0
2025-02-17,170.0
2025-02-18,170.0
2025-02-19,170.0
2025-02-20,170.0
2025-02-21,170.0
2025-02-22,170.0
2025-02-23,170.0
2025-02-24,170.0
2025-02-25,170.0
2025-02-26,170.0
2025-02-27,170.0
2025-02-28,170.0
2025-03-01,170.0
2025-03-02,170.0
2025-03-03,170.0
2025-03-04,170.0
2025-03-05,170.0
2025-03-06,170.0
2025-03-07,170.0
2025-03-08,170.0
2025-03-09,170.0
2025-03-10,170.0
2025-03-11,170.0
2025-03-12,170.0
2025-03-13,170.0
2025-03-14,170.0
2025-03-15,170.0
2025-03-16,170.0
2025-03-17,170.0
2025-03-18,170.0
2025-03-19,170.0
2025-03-20,170.0
2025-03-21,170.0
2025-03-22,170.0
2025-03-23,170.0
2025-03-24,170.0
2025-03-25,170.0
2025-03-26,170.0
2025-03-27,170.0
2025-03-28,170.0
2025-03-31,170.0
2025-04-01,170.0
2025-04-02,170.0
2025-04-03,170.0
2025-04-04,170.0
2025-04-05,170.0
2025-04-06,170.0
2025-04-07,170.0
2025-04-08,170.0
2025-04-09,170.0
2025-04-10,170.0
2025-04-11,170.0
2025-04-12,170.0
2025-04-13,170.0
2025-04-14,170.0
2025-04-15,170.0
2025-04-16,170.0
2025-04-17,170.0
2025-04-18,170.0
2025-04-19,170.0
2025-04-20,170.0
2025-04-21,170.0
2025-04-22,170.0
2025-04-23,170.0
2025-04-24,170.0
2025-04-25,170.0
2025-04-26,170.0
2025-04-27,170.0
2025-04-28,170.0
2025-04-29,170.0
2025-04-30,170.0
