文件名: deliA470g80g5005a4 70g52500_cleaned.csv
均值价格: 181.88
中位数价格: 189.00
价格标准差: 11.99

价格低于均值的日期和价格:
2025-01-07 价格: 170.00
2025-01-08 价格: 170.00
2025-01-09 价格: 170.00
2025-01-10 价格: 170.00
2025-01-11 价格: 170.00
2025-01-12 价格: 170.00
2025-01-13 价格: 170.00
2025-01-14 价格: 170.00
2025-01-15 价格: 170.00
2025-01-16 价格: 170.00
2025-01-17 价格: 170.00
2025-01-18 价格: 170.00
2025-01-19 价格: 170.00
2025-01-20 价格: 170.00
2025-01-21 价格: 170.00
2025-01-22 价格: 170.00
2025-01-23 价格: 170.00
2025-01-24 价格: 170.00
2025-01-25 价格: 170.00
2025-01-26 价格: 170.00
2025-01-27 价格: 170.00
2025-01-28 价格: 170.00
2025-01-29 价格: 170.00
2025-01-30 价格: 170.00
2025-01-31 价格: 170.00
2025-02-01 价格: 170.00
2025-02-02 价格: 170.00
2025-02-03 价格: 170.00
2025-02-04 价格: 170.00
2025-02-05 价格: 170.00
2025-02-06 价格: 170.00
2025-02-07 价格: 170.00
2025-02-08 价格: 170.00
2025-02-09 价格: 170.00
2025-02-10 价格: 170.00
2025-02-11 价格: 170.00
2025-02-12 价格: 170.00
2025-02-13 价格: 170.00
2025-02-14 价格: 170.00
2025-02-15 价格: 170.00
2025-02-16 价格: 170.00
2025-02-17 价格: 170.00
2025-02-18 价格: 170.00
2025-02-19 价格: 170.00
2025-02-20 价格: 170.00
2025-02-21 价格: 170.00
2025-02-22 价格: 170.00
2025-02-23 价格: 170.00
2025-02-24 价格: 170.00
2025-02-25 价格: 170.00
2025-02-26 价格: 170.00
2025-02-27 价格: 170.00
2025-02-28 价格: 170.00
2025-03-01 价格: 170.00
2025-03-02 价格: 170.00
2025-03-03 价格: 170.00
2025-03-04 价格: 170.00
2025-03-05 价格: 170.00
2025-03-06 价格: 170.00
2025-03-07 价格: 170.00
2025-03-08 价格: 170.00
2025-03-09 价格: 170.00
2025-03-10 价格: 170.00
2025-03-11 价格: 170.00
2025-03-12 价格: 170.00
2025-03-13 价格: 170.00
2025-03-14 价格: 170.00
2025-03-15 价格: 170.00
2025-03-16 价格: 170.00
2025-03-17 价格: 170.00
2025-03-18 价格: 170.00
2025-03-19 价格: 170.00
2025-03-20 价格: 170.00
2025-03-21 价格: 170.00
2025-03-22 价格: 170.00
2025-03-23 价格: 170.00
2025-03-24 价格: 170.00
2025-03-25 价格: 170.00
2025-03-26 价格: 170.00
2025-03-27 价格: 170.00
2025-03-28 价格: 170.00
2025-03-31 价格: 170.00
2025-04-01 价格: 170.00
2025-04-02 价格: 170.00
2025-04-03 价格: 170.00
2025-04-04 价格: 170.00
2025-04-05 价格: 170.00
2025-04-06 价格: 170.00
2025-04-07 价格: 170.00
2025-04-08 价格: 170.00
2025-04-09 价格: 170.00
2025-04-10 价格: 170.00
2025-04-11 价格: 170.00
2025-04-12 价格: 170.00
2025-04-13 价格: 170.00
2025-04-14 价格: 170.00
2025-04-15 价格: 170.00
2025-04-16 价格: 170.00
2025-04-17 价格: 170.00
2025-04-18 价格: 170.00
2025-04-19 价格: 170.00
2025-04-20 价格: 170.00
2025-04-21 价格: 170.00
2025-04-22 价格: 170.00
2025-04-23 价格: 170.00
2025-04-24 价格: 170.00
2025-04-25 价格: 170.00
2025-04-26 价格: 170.00
2025-04-27 价格: 170.00
2025-04-28 价格: 170.00
2025-04-29 价格: 170.00
2025-04-30 价格: 170.00
