商品,均值价格,中位数价格,价格标准差
(AsiaSymbol)A470g5005  2500,83.07490358126721,83.0,4.521906002950251
A4 70g 5005    2500,86.44019283746557,88.0,4.475242419589379
A4 70g 5005   2500,88.08870523415978,89.0,2.337600230639843
A4 70g5005   2500,85.55482093663912,79.0,17.688768720548733
A4500250070g5805 70A4-5,101.63000000000001,101.63,1.4396625406603727e-14
Blue FLAGSHIP   70g-A4-52500,128.2479338842975,128.0,3.6214851317039187
COMIX C3674-5 A4 500 70g 5 210,125.76256983240224,114.0,18.269597776121735
COMIX(Comix) 70g A4   A4 500 5,87.75694214876033,89.0,6.015448644255191
deliA470g80g5005a4 70g52500,181.88412017167383,189.0,11.986679252517684
MG A470gA4   500 5 2500 APY61A,85.91371900826447,86.0,4.383692746717214
MGA4 52500 70g 2500,122.14738292011019,123.5,1.918120205024425
TANGOA4 70g 5005   2500,84.50881542699724,85.0,4.28235225759207
所有商品平均,105.08417549850311,104.59416666666668,6.625074448971705
