date_日期,price_价格,title_名称,lowerPrice_最低价格,lowerDate_最低价格日期,itemurl_商品链接
2024-05-06,111.0,齐心齐心（COMIX） 优品复印纸C3674-5 打印纸A4 500张每包 70g 5包/箱 210*297mm A4    70g    5包/箱（2500张）,111,2024-08-20,http://item.jd.com/10101368375206.html
2024-05-07,111.0,齐心齐心（COMIX） 优品复印纸C3674-5 打印纸A4 500张每包 70g 5包/箱 210*297mm A4    70g    5包/箱（2500张）,111,2024-08-20,http://item.jd.com/10101368375206.html
2024-05-08,111.0,齐心齐心（COMIX） 优品复印纸C3674-5 打印纸A4 500张每包 70g 5包/箱 210*297mm A4    70g    5包/箱（2500张）,111,2024-08-20,http://item.jd.com/10101368375206.html
2024-05-09,111.0,齐心齐心（COMIX） 优品复印纸C3674-5 打印纸A4 500张每包 70g 5包/箱 210*297mm A4    70g    5包/箱（2500张）,111,2024-08-20,http://item.jd.com/10101368375206.html
2024-05-10,111.0,齐心齐心（COMIX） 优品复印纸C3674-5 打印纸A4 500张每包 70g 5包/箱 210*297mm A4    70g    5包/箱（2500张）,111,2024-08-20,http://item.jd.com/10101368375206.html
2024-05-11,111.0,齐心齐心（COMIX） 优品复印纸C3674-5 打印纸A4 500张每包 70g 5包/箱 210*297mm A4    70g    5包/箱（2500张）,111,2024-08-20,http://item.jd.com/10101368375206.html
2024-05-12,111.0,齐心齐心（COMIX） 优品复印纸C3674-5 打印纸A4 500张每包 70g 5包/箱 210*297mm A4    70g    5包/箱（2500张）,111,2024-08-20,http://item.jd.com/10101368375206.html
2024-05-13,111.0,齐心齐心（COMIX） 优品复印纸C3674-5 打印纸A4 500张每包 70g 5包/箱 210*297mm A4    70g    5包/箱（2500张）,111,2024-08-20,http://item.jd.com/10101368375206.html
2024-05-14,111.0,齐心齐心（COMIX） 优品复印纸C3674-5 打印纸A4 500张每包 70g 5包/箱 210*297mm A4    70g    5包/箱（2500张）,111,2024-08-20,http://item.jd.com/10101368375206.html
2024-05-15,111.0,齐心齐心（COMIX） 优品复印纸C3674-5 打印纸A4 500张每包 70g 5包/箱 210*297mm A4    70g    5包/箱（2500张）,111,2024-08-20,http://item.jd.com/10101368375206.html
