date_日期,price_价格,title_名称,lowerPrice_最低价格,lowerDate_最低价格日期,itemurl_商品链接
2024-05-01,99.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-02,99.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-03,99.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-04,99.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-05,99.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-06,92.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-07,92.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-08,92.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-09,92.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-10,92.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-11,90.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-12,90.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-13,90.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-14,90.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-15,90.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-16,90.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-17,90.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-18,95.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-19,95.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-20,79.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-21,79.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-22,87.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-23,87.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-24,87.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-25,90.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-26,90.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-27,79.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-28,85.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-29,87.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-30,87.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-05-31,77.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-01,77.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-02,87.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-03,77.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-04,77.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-05,87.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-06,87.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-07,87.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-08,90.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-09,90.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-10,90.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-11,77.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-12,77.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-13,87.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-14,87.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-06-15,87.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
