date_日期,price_价格,title_名称,lowerPrice_最低价格,lowerDate_最低价格日期,itemurl_商品链接
2024-04-01,92.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-01,92.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-02,92.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-02,92.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-03,92.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-04,92.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-05,89.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-05,89.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-06,89.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-06,89.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-07,89.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-07,89.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-08,89.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-08,89.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
2024-04-09,89.0,亚太森博红拷贝可乐A4纸 70g 500张*5包一箱 办公用纸 双面多功能复印纸 2500张整箱【专业造纸厂牌】,73,2025-05-21,http://item.jd.com/100004885867.html
