date_日期,price_价格,title_名称,lowerPrice_最低价格,lowerDate_最低价格日期,itemurl_商品链接
2024-04-01,94.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-04-01,94.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-04-02,94.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-04-02,94.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-04-03,94.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-04-03,94.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-04-04,95.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-04-04,95.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-04-05,95.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-04-05,95.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-04-06,95.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-04-06,95.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-04-07,92.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
2024-04-07,92.0,齐心（COMIX）齐心(Comix)利捷 70g A4 复印纸 打印纸 A4纸 500张/包 5包/箱（2500张） C3874-5,70.99,2024-11-05,http://item.jd.com/2099965.html
